Text,Timing
"높은 자본비율에 따른 자사주 매입 확대 기대
2Q24 Preview
기대치 상회 예상: KB금융의 2Q24 지배주주순이익은 1조 4,926억원(-0.4%YoY, +42.3%QoQ)으로 컨
센서스 1조 4,469억원을 상회할 것으로 전망한다. 부동산PF 사업장 재평가 및 책임준공형 부동산 신탁
관련 약 1,200억원의 충당금 추가 적립이 예상되지만, 높은 대출 성장과 상대적으로 양호하게 관리된
NIM에 따라 견조한 순이자이익 증가세가 예상되기 때문이다. 2Q24 원화대출은 +2%QoQ, 은행 NIM은
-2bpQoQ가 전망된다. 가계대출과 기업대출 모두 높은 증가세를 나타내고 있는 것으로 보인다.
Comment
높은 자본비율 강점 지속. 하반기 추가 자사주 매입 및 소각 기대: 1Q24 CET1 비율 13.42%로 은행중
가장 높은 수준을 기록했고, 2Q24에도 1분기와 비슷한 수준의 CET1 비율이 예상된다. 회사가 목표로
하는 자본비율인 13% 중반 수준을 안정적으로 유지하고 있기 때문에 23년 대비 확대된 24년 총주주환
원율 40% 달성은 충분히 가능해 보인다. 회계연도 기준 23년 총주주환원율은 37.5%였다. 24년 회계연
도 기준 예상 총주주환원율 40%와 배당금 1.2조원과 기 진행된 자사주 매입 3,200억원을 고려하면 하
반기 약 4,000억원 수준의 추가 자사주 매입 및 소각이 기대된다.
Action
투자의견 Buy, 목표주가 102,000원 상향: 24년 약 4% 증익과 함께 높은 자본비율을 바탕으로 한 총
주주환원율 상향에 따라 큰 폭의 주주환원 확대가 전망된다. 24년 주가 상승에 따라 24년 예상 DPS
3,169원 기준 배당수익률이 약 3.8%로 낮아졌지만, 자사주 매입을 포함한 24년 예상 주주환원 수익률
은 여전히 6% 수준으로 높다. 전망되는 주주환원 확대를 고려해 타겟 PBR을 0.7배로 상향해 목표주가
를 102,000원으로 상향한다. ",AFTER
"이제 PBR 0.53배. 아직도 갈길은 멀다
신탁 책임준공 추가 충당금 적립 등에도 불구하고 2분기 1.5조원대의 순익 예상
KB금융에 대한 투자의견 매수를 유지하고, 목표주가를 102,000원으로 상향. 목표가 상향은
리딩뱅크 프리미엄을 감안한 자본비용 할인율 축소 및 2분기 호실적 등을 반영했기 때문.
KB금융 2분기 추정 순익은 약 1.52조원으로 전분기대비 44.9% 증가해 컨센서스 상회 예상.
신탁 책임준공 관련 추가 부담 등 약 1,500~2,000억원의 PF 관련 추가 충당금 적립에도 불
구하고 홍콩 H지수 상승에 따른 ELS 고객 보상비용 800~900억원 환입 등이 이를 어느정도
상쇄할 것으로 전망되기 때문. 1) 6월부터 가계대출과 대기업대출이 늘어나면서 2분기 은행
원화대출금이 약 2.2~2.3% 성장하고, NIM은 2bp 하락에 그쳐 순이자이익 증가세가 지속되
는데다 2) 시중금리 하락에 따른 유가증권 관련익 증가와 증권 수입수수료 개선 등에 힘입
어 비이자이익도 상당히 선방할 것으로 추정. 3) PF 연착륙을 위한 정책 방향과 관련한 추가
충당금은 500억원 미만에 그치겠지만 신탁 책임준공 관련 충당금 적립 등으로 2분기 그룹
대손비용은 5,700억원 내외로 다시 증가할 것으로 예상. 신한자산신탁과 KB부동산자산신탁
의 책임준공 관리형 토지신탁 PF대출 실행 잔액이 2023년말 기준 각각 5.6조원과 4.0조원
으로 규모가 상당히 커지면서 감독당국이 리스크 점검에 나섰고, 이로 인해 대손비용이 늘
어날 것으로 추정됨. 그러나 경상 이익 체력이 크게 레벨업되면서 추가 충당금에도 불구하
고 2분기에 1.5조원이 넘는 실적을 시현할 것으로 예상되는데다 향후 한화오션 충당금 환입
가능성 등의 일회성 이익 기여 요인들도 상존하고 있어 1분기 중 8,600억원을 상회하는
ELS 관련 비용을 인식했음에도 불구하고 올해 연간 순익은 4.8조원을 상회할 것으로 기대
총주주환원율 40%를 가장 먼저 상회할 수 있는 은행. 밸류업 대장주 지위 유지 예상
시장의 관심은 동사가 7월에 발표할 자사주 매입·소각 규모가 얼마일지의 여부(통상 KB금융
은 1년에 두차례 2월과 7월에 자사주 매입·소각을 발표해 왔음). 정부의 중점 추진 사항인
밸류업 분위기를 감안시 2월의 3,200억원보다는 상당폭 커질 것으로 예상되지만 높아진 대
출성장률과 환율 상승 등의 RWA 증가 요인 등으로 CET 1 비율이 추가 하락할 경우에는 금
번 자사주 매입·소각 규모가 높아진 시장기대치를 충족하지 못할 가능성도 있음. 다만 그렇
다고 하더라도 3분기에 추가적으로 자사주 매입·소각에 나설 가능성이 높으며 올해 연간 자
사주 매입·소각 규모는 최소 7,000억원 이상, 그리고 총주주환원율이 40%를 상회하는 최초
의 금융지주사가 될 것으로 기대. 한편 KB금융은 배당총액 기준 분기 균등배당을 시행 중이
고, 2분기에 약 3.4백만주의 자사주를 매입한 점을 감안시 2분기 DPS는 791원으로 상승할
것으로 예상. 연초 이후 주가상승률이 56%에 달해 타행대비 높은 초과상승 폭에 대한 부담
은 있지만 연간 경상 순익이 5.4조원대로 향후 이익모멘텀이 뚜렷하고, 양호한 자본비율과
주주환원 확대에 대한 의지도 매우 강하다는 점에서 밸류업 대장주로서의 지위는 계속 유지
될 전망. 지주사 설립 이후 신고가를 경신했지만 현 PBR이 0.53배에 불과해 아직도 갈길이
멀었다고 판단. 일본 대형은행들은 최근 주가가 추가 급등해 PBR이 1.0배를 상회하고 있음",AFTER
"KB금융 은행업종 Top Pick 유지. 경상 이익과 자본비율, 주주환원 등
모든 측면에서 투자자에게 가장 편안한 은행주모두의 선택을 받는 은행주
KB금융 목표주가를 기존 96,000원에서 105,000원으로 상향 조정. 목표주가
상향의 주된 근거는 할인율 축소(35%→30%). 목표주가는 2024년 BPS
143,190원에 타깃PBR 0.73배를 적용해 산출
은행주 Top Pick 유지. (카카오뱅크를 제외한) 은행주 중 가장 PBR이 높지만 이
는 자본비율이나 이익 안정성, 주주환원 정책의 우위가 반영된 것. 우위 요인이
약화되기 전까지는 밸류에이션 프리미엄이 지속될 전망
7월 자사주 3,200억원 이상 매입/소각 발표 예상
KB금융은 지난 2월에 에어 7월에 자사주 3,200억원 이상 매입/소각을 발표할
전망. CET1 비율이 2분기에도 13%를 충분히 상회할 것으로 보이는 만큼 자사
주 매입을 하지 못할 이유는 없는 상황. 3,200억원 매입/소각 기준 올해 총주주
환원율은 38%로, 매입 규모에 따라 환원율은 40% 도달도 가능
24년 2분기 지배순이익 1조3,740억원 예상
KB금융의 24년 2분기 지배순이익은 1조4,177억원으로 컨센서스 소폭 하락 예
상. 1분기에 이어 2분기에도 성장보다는 NIM과 자본비율 관리에 집중해, 대출성
장은 1.2% q-q, NIM은 -2bp, CET1 비율은 13.5% 예상. PF 관련 추가 충당
금 일부 발생 감안해 CCR 60bp 전망. 1분기에 적립한 ELS 투자자 손실 보상액
중 일부 환입이 연내 이루어질 전망이나, 2분기 반영 여부는 미정(당사는 하반기
실적 추정에 반영) KB금융지주는 국내 최대 규모의 종합금융그룹으로 국민은행을 비롯해 KB증권, KB손해보험, KB국민카드, KB생명보험 등
을 주요 계열사로 두고 있음. 업계 내 상대적으로 안정적인 펀더멘털과 자본력을 보유하고 있어 이를 바탕으로 추가적 성
장기반 구축이 가능. 2020년 푸르덴셜생명을 인수하며 다각화된 사업 포트폴리오를 강화하였고, 캄보디아 프라삭, 인도네
시아 부코핀 등 해외 리테일 금융사들을 연이어 자회사로 편입하며 글로벌 사업 확대 본격화  리딩 금융그룹 프리미엄
 경쟁사보다 높은 자본비율
 높은 비이자이익 비중, 안정적인 이익 구조
 가시성 높고 지속 가능한 주주환원 정책 경기 침체로 인한 건전성 악화 가능성
 사회 공헌에 대한 요구 증가
 핀테크 기업들의 금융업 진출",AFTER
"2Q24 Preview: 지배주주순이익 소폭 증가 예상(전년동기대비 上低下高)
2Q24 지배주주순이익 +3.9%yoy(+48.4%qoq)인 1조 5,573억원 예상. 이자
이익 증가와 경상적 대손비용 4,500억원 내외에서 부동산 연착륙을 위한 국
내 부동산PF 개별 평가에 따른 충당금 증가 및 부동산신탁 책임준공 관련 보
수적 충당금 감안한 1,000억원의 추가 적립을 가정하여도 전년동기 PD값 조
정에 따른 추가 충당금 1,700억원 소멸에 따라 대손충당금전입(-17.7%yoy,
+25.2%qoq인 5,362억원)도 감소 예상. 다만 수수료이익 및 자회사의 실적
개선 지속, 시장금리 소폭 하락에 따른 유가증권관련이익도 양호할 전망이나
전년동기 기고효과로 비이자이익(-11.7%yoy, -15.9%qoq)은 감소를 예상
2Q24 이자이익 +6.8%yoy(+0.7%qoq)인 3조 1,743억원 예상. 분기 NIM 전
분기대비 -2bp 소폭 하락 예상. 반면 원화대출성장(+5.3%yoy, +1.2%qoq)은
경쟁 심화에 따른 중소기업대출 둔화에도 대출수요 일부 회복에 따른 주택담
보대출이 증가하면서 양호할 전망. 연간기준으로는 4% 내외의 성장 예상
투자의견 매수 및 목표주가 100,000원으로 상향 조정
2024년(E) ELS 손실부담 비용 8,620억원 발생에도 전년도 보수적으로 적립
한 대손충당금전입이 큰 폭으로 감소하면서 지배주주순이익 +3.9%yoy인 4.8
조원의 최대실적 예상. 더불어 업종 내 최고수준인 13.4%의 보통주자본비율
을 기반으로 총주주환원율 2023년 38.1% 대비 40.0%(자사주 매입 및 소각
7,700억원으로 배당성향 16.0% 및 연간 주당배당금 3,136원으로 배당성향
24.0%(주식수 1,000만주 감소 가정))로 상향 예상. 이에 따라 현재 진행중인
자사주 매입 및 소각 3,200억원(2/8~8/7일) 외 추가 4,500억원 전망
PBR 및 PER 각각 0.6배 및 6.1배에 불과하다는 점과 밸류업 프로그램 기대
감도 유효(3Q 지수 발표 및 4Q ETF 개발)하다고 판단. 총주주환원율도 강화
되고 있다는 점에서 PBR 상향조정도 지속될 전망. 이에 따라 투자의견 BUY
및 목표주가 100,000원(목표PBR 0.6배 → 0.7배)으로 상향 조정함. 최대실적 지속과 총주주환원율 강화로 PBR 지속적 Level Up 예상",AFTER
"은행 최선호주 제시
투자의견 매수, 목표주가 100,000원 제시
KB금융에 대해 투자의견 매수, 목표주가 100,000원을 제시한다. 동사는 적극적인
주주환원 정책이 가능한 보통주자본비율 12%를 크게 상회하는 가운데 업계에서 가
장 강력한 주주환원 정책을 이끌어나가면서 낮은 할인율을 적용받고 있다. 특히
2024년부터는 현금 배당금액 자체를 메분기 동일하게 지급하는, 진정한 의미의 분
기 균등 배당을 시행했는데, 여기에 자사주 매입·소각이 더해지며 주당배당금이 점
진적으로 상승하는 효과까지도 기대할 수 있다. 이런 노력에 힘입어 향후 내재 할인
율은 큰 폭으로 추가 개선될 수 있다고 판단한다. 은행 최선호주로 제시한다.
펀더멘털 점검
동사의 순영업수익은 2023년 기준 이자이익 74.2%, 비이자이익 25.8%로 구성되
어 있다. 업계 내에서 비이자이익 비중이 가장 높으며, 이는 다양한 비은행 자회사가
이익에 기여하고 있는 점에 기인한다. 이런 점은 향후 기준금리 인하가 본격화되어
이자이익이 부진할 때 그 영향을 상쇄시키는 요인으로 작용할 전망이다.
순이자마진도 대출 자산 듀레이션이 긴 영향으로 금리 변화에 둔감한 편인데, 이에
따라 2024년 순이자마진은 전년대비 추가 상승에 성공할 것으로 예상한다. 그런 중
에 선제적 충당금은 시중은행 중에서 가장 적극적으로 쌓아왔기 때문에 경상 대손비
용률이 안정되며 순이자마진과 대손비용률 차이는 2021~22년 호황 때보다도 더 높
아질 전망이다.
실적 전망
2024년에는 이자이익은 증가, 비이자이익은 감소, 대손비용은 개선되면서 순이익은
전년대비 5.3% 증가할 전망이다. 2023년에 상생금융에 따른 비이자이익 감소와 대
규모 충당금 적립에 따른 대손비용 증가로 기저효과를 형성했으나 1분기 ELS 배상
의 영향으로 소멸했으며, 이자이익 성장(+5.1%)이 견인하는 증익이 가능할 것으로
예상한다. 2025년에는 ELS 배상으로 인한 기저효과에 힘입어 6.8%의 증익이 가능
할 전망이다.",AFTER
"좋은 시절에 선반영한 비용으로 버퍼가 크다
- 2024E: NIM 2.09%(+2bp YoY), 지주 총여신 +5% YoY, 대손비용률 0.42%(-33bp YoY)
- 2024년 영업이익은 +20% YoY, ELS 관련 대규모 영업외비용 반영에도 불구하고 지배 순익은 +8% YoY로 추정된다.
- 손익상 여력이 많다. 부동산 자산에 대한 선제적 충당금이 추가 비용에 대한 우려를 낮춰주고, 타행과 달리 한화오션에 대한 환입
이 미인식된 데 따라 1,500억원 수준의 일회성 환입을 하반기 실적 추정치에 반영하고 있다.
구관이 명관
- KB금융은 연초 발표한 3,200억원의 자사주 매입을 완료했다. 단, 동사의 결산 실적발표 시점의 자사주 결정은 해당 결산연도에
귀속되므로 2024년 자사주는 아직인 셈이다. 자본여력과 이익 체력을 고려해 오는 7월 3,500억원, 2025년 초 3,800억원의
자사주 매입을 기대하고 있다. 배당수익률은 2~4분기 1.0%, 연간 4.1%로 예상된다.
- 한 단계 레벨업된 주주환원 정책에 따라 동사의 주가는 연초 이후 47% 상승해 KOSPI를 46%p 상회했다. 은행주 중 가장 좋
은 수익률을 지속 중임에도 불구하고, top pick으로 유지한다. 현재 은행 섹터에는 분기별 지급되는 배당에 대한 기대 수익률
상승이 주된 투자 포인트이므로, 중장기적인 long 관점에서의 접근이 맞다고 판단하기 때문이다.",AFTER
"좋은 시절에 선반영한 비용으로 버퍼가 크다
- 2024E: NIM 2.09%(+2bp YoY), 지주 총여신 +5% YoY, 대손비용률 0.42%(-33bp YoY)
- 2024년 영업이익은 +20% YoY, ELS 관련 대규모 영업외비용 반영에도 불구하고 지배 순익은 +8% YoY로 추정된다.
- 손익상 여력이 많다. 부동산 자산에 대한 선제적 충당금이 추가 비용에 대한 우려를 낮춰주고, 타행과 달리 한화오션에 대한 환입
이 미인식된 데 따라 1,500억원 수준의 일회성 환입을 하반기 실적 추정치에 반영하고 있다.
구관이 명관
- KB금융은 연초 발표한 3,200억원의 자사주 매입을 완료했다. 단, 동사의 결산 실적발표 시점의 자사주 결정은 해당 결산연도에
귀속되므로 2024년 자사주는 아직인 셈이다. 자본여력과 이익 체력을 고려해 오는 7월 3,500억원, 2025년 초 3,800억원의
자사주 매입을 기대하고 있다. 배당수익률은 2~4분기 1.0%, 연간 4.1%로 예상된다.
- 한 단계 레벨업된 주주환원 정책에 따라 동사의 주가는 연초 이후 47% 상승해 KOSPI를 46%p 상회했다. 은행주 중 가장 좋
은 수익률을 지속 중임에도 불구하고, top pick으로 유지한다. 현재 은행 섹터에는 분기별 지급되는 배당에 대한 기대 수익률
상승이 주된 투자 포인트이므로, 중장기적인 long 관점에서의 접근이 맞다고 판단하기 때문이다.",AFTER
"좋은 시절에 선반영한 비용으로 버퍼가 크다
- 2024E: NIM 2.09%(+2bp YoY), 지주 총여신 +5% YoY, 대손비용률 0.42%(-33bp YoY)
- 2024년 영업이익은 +20% YoY, ELS 관련 대규모 영업외비용 반영에도 불구하고 지배 순익은 +8% YoY로 추정된다.
- 손익상 여력이 많다. 부동산 자산에 대한 선제적 충당금이 추가 비용에 대한 우려를 낮춰주고, 타행과 달리 한화오션에 대한 환입
이 미인식된 데 따라 1,500억원 수준의 일회성 환입을 하반기 실적 추정치에 반영하고 있다.
구관이 명관
- KB금융은 연초 발표한 3,200억원의 자사주 매입을 완료했다. 단, 동사의 결산 실적발표 시점의 자사주 결정은 해당 결산연도에
귀속되므로 2024년 자사주는 아직인 셈이다. 자본여력과 이익 체력을 고려해 오는 7월 3,500억원, 2025년 초 3,800억원의
자사주 매입을 기대하고 있다. 배당수익률은 2~4분기 1.0%, 연간 4.1%로 예상된다.
- 한 단계 레벨업된 주주환원 정책에 따라 동사의 주가는 연초 이후 47% 상승해 KOSPI를 46%p 상회했다. 은행주 중 가장 좋
은 수익률을 지속 중임에도 불구하고, top pick으로 유지한다. 현재 은행 섹터에는 분기별 지급되는 배당에 대한 기대 수익률
상승이 주된 투자 포인트이므로, 중장기적인 long 관점에서의 접근이 맞다고 판단하기 때문이다.",AFTER
"실적과 주주 환원의 쌍두마차
KB 금융의 주요 자회사인 은행, 증권, 손해보험, 신용카드 등의 경우 모두 각 업계
내 상위권의 경쟁력을 보유하고 있어 업황과 관계없이 일정 수준의 경상 실적을 꾸
준히 기대할 수 있다고 판단한다. 분기별로 약 1.5 조원 수준의 경상 실적을 기대하
는데 어려움은 없을 것으로 예상되는 만큼 1Q24 중 대규모 ELS 배상에도 연간 증
익이 나타날 것으로 예상된다. 타사보다 양호한 마진 흐름, 견조한 수수료손익 등을
바탕으로 탑라인 개선 추세 지속될 것으로 예상되며 대손비용 측면의 불확실성이 지
속되고 있는 것은 사실이나 동사의 경우 23 년 중 대규모 선제적 충당금을 적립한
점을 감안하면 실질적인 부담 수준은 다소 제한적일 전망이다.
주주 환원의 경우 현금배당은 분기별로 총액 기준 균등 배당을 실시하고 있으며 실
적 및 자본비율에 따라 자사주 매입/소각을 활용하여 탄력적으로 주주 환원을 시행
하는 모습이 나타나고 있다. 1Q24 CET1 비율 13.4%를 기준으로 Target 13% 대
비 약 1.3 조원의 여력이 남아있으며 매 분기 약 1.5 조 수준의 경상 이익이 예상되는
점을 감안하면 추가적인 주주 환원에 특별한 어려움은 없을 것으로 예상하며 24E
주주 환원율 약 40%를 기대한다.
24E 지배순이익은 4조8,723억원(+5.2% YoY)를 전망한다. 1) 양호한 마진 및 2)
보험/수수료손익 중심 견조한 비이자이익을 바탕으로 안정적인 탑라인을 전망하며
Credit Cost 는 0.48%(-25bp YoY)로 하락할 전망이다. 최근 H 지수 반등으로
ELS 관련 추가적인 우려는 제한적으로 판단한다",AFTER
"KB금융그룹 계열사들이 모여 생성형 인공지능(AI) 시대 대응전략을 논의했다.

KB금융은 4일 서울 영등포 신관에서 생성형 AI시대 대응과 고객 관점의 디지털 전략 수립을 위한 ‘디지털·정보기술(IT) 부문 전략워크숍’을 열었다고 5일 밝혔다.
 KB금융 생성형 AI 시대 대응전략 논의, <a href='https://www.businesspost.co.kr/BP?command=article_view&num=357280' class='human_link' style='text-decoration:underline' target='_blank'>양종희</a> ""고객 관점 디지털 혁신 필요""
▲ KB금융이 생성형 인공지능(AI) 시대 대응전략을 논의하는 계열사 워크숍을 열었다.

양종희 KB금융 회장은 “진정한 디지털 혁신은 고객이 차별화된 경험을 피부로 느낄 수 있을 때 이뤄진다”며 “디지털·AI는 KB금융의 미래 성장을 위한 핵심 동력이므로 고객 관점의 디지털 혁신을 통해 그룹 경쟁력을 확보할 수 있도록 힘써달라”고 말했다.

이번 워크숍은 고객 중심 디지털 혁신 전략 발굴을 위한 발표와 아마존 웹서비스(AWS)와 같은 생성형 AI 전문기업이 전달하는 ‘생성형 AI의 최신 기술동향과 활용사례’를 담은 특강으로 진행됐다.

KB금융 모든 계열사의 디지털·IT 부문 경영진 50여 명은 △생성형 AI 기술 내재화 △비대면·디지털 중심 코어뱅킹 현대화 △마이데이터 기반 계열사 사이 협업 전략 등을 주제로 논의했다.

KB금융은 금융 계열사 9곳이 공동으로 이용할 수 있는 ‘그룹 공동 생성형 AI 플랫폼’을 구축하고 있다. 2022년 10월 세운 AI 윤리 기준을 토대로 올해 안에 AI 위험을 체계적으로 관리할 수 있는 AI 거버넌스 프레임을 도입한다는 계획을 세워뒀다. 김환 기자",AFTER
