종목명,,"선물옵션
구분",,"최종
거래일",,행사가격,,"기초자산
기준가격",,,,잔존일수,,금리(%),,배당  현재가치,,변동성,,,이론가격,,,,
"C 202307    78,000(  10)",,콜,,20230713,,"78,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"37,356.580000 ",,,,
"C 202307    80,000(  10)",,콜,,20230713,,"80,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"35,363.250000 ",,,,
"C 202307    82,000(  10)",,콜,,20230713,,"82,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"33,370.120000 ",,,,
"C 202307    84,000(  10)",,콜,,20230713,,"84,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"31,377.470000 ",,,,
"C 202307    86,000(  10)",,콜,,20230713,,"86,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"29,385.780000 ",,,,
"C 202307    88,000(  10)",,콜,,20230713,,"88,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"27,396.320000 ",,,,
"C 202307    90,000(  10)",,콜,,20230713,,"90,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"25,412.050000 ",,,,
"C 202307    92,000(  10)",,콜,,20230713,,"92,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"23,436.280000 ",,,,
"C 202307    94,000(  10)",,콜,,20230713,,"94,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"21,473.310000 ",,,,
"C 202307    96,000(  10)",,콜,,20230713,,"96,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"19,526.890000 ",,,,
"C 202307    98,000(  10)",,콜,,20230713,,"98,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"17,621.440000 ",,,,
"C 202307   100,000(  10)",,콜,,20230713,,"100,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,"15,761.430000 ",,,,
"C 202307   105,000(  10)",,콜,,20230713,,"105,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.336 ,,,"11,437.780000 ",,,,
"C 202307   110,000(  10)",,콜,,20230713,,"110,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.336 ,,,"7,702.100000 ",,,,
"C 202307   115,000(  10)",,콜,,20230713,,"115,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.329 ,,,"4,727.720000 ",,,,
"C 202307   120,000(  10)",,콜,,20230713,,"120,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.342 ,,,"2,808.740000 ",,,,
"C 202307   125,000(  10)",,콜,,20230713,,"125,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.352 ,,,"1,613.220000 ",,,,
"C 202307   130,000(  10)",,콜,,20230713,,"130,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.356 ,,,849.520000 ,,,,
"C 202307   135,000(  10)",,콜,,20230713,,"135,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.331 ,,,282.060000 ,,,,
"C 202308    78,000(  10)",,콜,,20230810,,"78,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"37,585.130000 ",,,,
"C 202308    80,000(  10)",,콜,,20230810,,"80,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"35,601.570000 ",,,,
"C 202308    82,000(  10)",,콜,,20230810,,"82,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"33,623.790000 ",,,,
"C 202308    84,000(  10)",,콜,,20230810,,"84,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"31,651.690000 ",,,,
"C 202308    86,000(  10)",,콜,,20230810,,"86,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"29,686.350000 ",,,,
"C 202308    88,000(  10)",,콜,,20230810,,"88,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"27,741.000000 ",,,,
"C 202308    90,000(  10)",,콜,,20230810,,"90,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"25,805.840000 ",,,,
"C 202308    92,000(  10)",,콜,,20230810,,"92,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"23,906.930000 ",,,,
"C 202308    94,000(  10)",,콜,,20230810,,"94,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"22,035.000000 ",,,,
"C 202308    96,000(  10)",,콜,,20230810,,"96,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"20,204.890000 ",,,,
"C 202308    98,000(  10)",,콜,,20230810,,"98,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"18,433.280000 ",,,,
"C 202308   100,000(  10)",,콜,,20230810,,"100,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"16,705.750000 ",,,,
"C 202308   105,000(  10)",,콜,,20230810,,"105,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"12,730.920000 ",,,,
"C 202308   110,000(  10)",,콜,,20230810,,"110,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"9,347.860000 ",,,,
"C 202308   115,000(  10)",,콜,,20230810,,"115,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"6,579.230000 ",,,,
"C 202308   120,000(  10)",,콜,,20230810,,"120,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"4,433.900000 ",,,,
"C 202308   125,000(  10)",,콜,,20230810,,"125,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"2,862.410000 ",,,,
"C 202308   130,000(  10)",,콜,,20230810,,"130,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"1,773.170000 ",,,,
"C 202308   135,000(  10)",,콜,,20230810,,"135,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.331 ,,,"1,056.400000 ",,,,
"C 202309    60,000(  10)",,콜,,20230914,,"60,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"55,683.370000 ",,,,
"C 202309    64,000(  10)",,콜,,20230914,,"64,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"51,722.720000 ",,,,
"C 202309    68,000(  10)",,콜,,20230914,,"68,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"47,763.560000 ",,,,
"C 202309    72,000(  10)",,콜,,20230914,,"72,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"43,808.850000 ",,,,
"C 202309    76,000(  10)",,콜,,20230914,,"76,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"39,865.480000 ",,,,
"C 202309    80,000(  10)",,콜,,20230914,,"80,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"35,947.180000 ",,,,
"C 202309    84,000(  10)",,콜,,20230914,,"84,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"32,077.790000 ",,,,
"C 202309    88,000(  10)",,콜,,20230914,,"88,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"28,293.180000 ",,,,
"C 202309    92,000(  10)",,콜,,20230914,,"92,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"24,639.850000 ",,,,
"C 202309    96,000(  10)",,콜,,20230914,,"96,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"21,169.020000 ",,,,
"C 202309    98,000(  10)",,콜,,20230914,,"98,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"19,505.260000 ",,,,
"C 202309   100,000(  10)",,콜,,20230914,,"100,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"17,927.290000 ",,,,
"C 202309   105,000(  10)",,콜,,20230914,,"105,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"14,247.630000 ",,,,
"C 202309   110,000(  10)",,콜,,20230914,,"110,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"11,052.660000 ",,,,
"C 202309   115,000(  10)",,콜,,20230914,,"115,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"8,366.830000 ",,,,
"C 202309   120,000(  10)",,콜,,20230914,,"120,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"6,175.290000 ",,,,
"C 202309   125,000(  10)",,콜,,20230914,,"125,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"4,433.920000 ",,,,
"C 202309   130,000(  10)",,콜,,20230914,,"130,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"3,084.210000 ",,,,
"C 202309   135,000(  10)",,콜,,20230914,,"135,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"2,150.880000 ",,,,
"C 202309   140,000(  10)",,콜,,20230914,,"140,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,"1,466.640000 ",,,,
"C 202309   150,000(  10)",,콜,,20230914,,"150,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.331 ,,,604.460000 ,,,,
"C 202312    60,000(  10)",,콜,,20231214,,"60,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"55,950.920000 ",,,,
"C 202312    64,000(  10)",,콜,,20231214,,"64,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"52,045.780000 ",,,,
"C 202312    68,000(  10)",,콜,,20231214,,"68,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"48,163.240000 ",,,,
"C 202312    72,000(  10)",,콜,,20231214,,"72,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"44,319.430000 ",,,,
"C 202312    76,000(  10)",,콜,,20231214,,"76,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"40,532.820000 ",,,,
"C 202312    80,000(  10)",,콜,,20231214,,"80,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"36,817.900000 ",,,,
"C 202312    84,000(  10)",,콜,,20231214,,"84,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"33,214.200000 ",,,,
"C 202312    88,000(  10)",,콜,,20231214,,"88,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"29,779.620000 ",,,,
"C 202312    92,000(  10)",,콜,,20231214,,"92,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"26,478.300000 ",,,,
"C 202312    96,000(  10)",,콜,,20231214,,"96,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"23,363.610000 ",,,,
"C 202312   100,000(  10)",,콜,,20231214,,"100,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"20,517.840000 ",,,,
"C 202312   110,000(  10)",,콜,,20231214,,"110,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"14,265.520000 ",,,,
"C 202312   120,000(  10)",,콜,,20231214,,"120,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"9,534.170000 ",,,,
"C 202312   130,000(  10)",,콜,,20231214,,"130,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"6,166.380000 ",,,,
"C 202312   140,000(  10)",,콜,,20231214,,"140,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"3,847.040000 ",,,,
"C 202312   150,000(  10)",,콜,,20231214,,"150,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"2,327.070000 ",,,,
"C 202312   160,000(  10)",,콜,,20231214,,"160,000.00000000 ",,"115,400",,,,186 ,,3.750000 ,,596.227087 ,,0.331 ,,,"1,369.600000 ",,,,
"C 202403    64,000(  10)",,콜,,20240314,,"64,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"52,453.460000 ",,,,
"C 202403    68,000(  10)",,콜,,20240314,,"68,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"48,682.750000 ",,,,
"C 202403    72,000(  10)",,콜,,20240314,,"72,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"44,977.750000 ",,,,
"C 202403    76,000(  10)",,콜,,20240314,,"76,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"41,384.960000 ",,,,
"C 202403    80,000(  10)",,콜,,20240314,,"80,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"37,869.410000 ",,,,
"C 202403    84,000(  10)",,콜,,20240314,,"84,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"34,510.930000 ",,,,
"C 202403    88,000(  10)",,콜,,20240314,,"88,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"31,305.760000 ",,,,
"C 202403    92,000(  10)",,콜,,20240314,,"92,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"28,229.210000 ",,,,
"C 202403    96,000(  10)",,콜,,20240314,,"96,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"25,401.020000 ",,,,
"C 202403   100,000(  10)",,콜,,20240314,,"100,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"22,678.670000 ",,,,
"C 202403   110,000(  10)",,콜,,20240314,,"110,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"16,788.110000 ",,,,
"C 202403   120,000(  10)",,콜,,20240314,,"120,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"12,178.580000 ",,,,
"C 202403   130,000(  10)",,콜,,20240314,,"130,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"8,621.240000 ",,,,
"C 202403   140,000(  10)",,콜,,20240314,,"140,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"6,008.560000 ",,,,
"C 202403   150,000(  10)",,콜,,20240314,,"150,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"4,167.640000 ",,,,
"C 202403   160,000(  10)",,콜,,20240314,,"160,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"2,849.300000 ",,,,
"C 202406    88,000(  10)",,콜,,20240613,,"88,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"32,760.550000 ",,,,
"C 202406    92,000(  10)",,콜,,20240613,,"92,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"29,889.410000 ",,,,
"C 202406    96,000(  10)",,콜,,20240613,,"96,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"27,201.730000 ",,,,
"C 202406   100,000(  10)",,콜,,20240613,,"100,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"24,610.350000 ",,,,
"C 202406   110,000(  10)",,콜,,20240613,,"110,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"19,027.550000 ",,,,
"C 202406   120,000(  10)",,콜,,20240613,,"120,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"14,439.630000 ",,,,
"C 202406   130,000(  10)",,콜,,20240613,,"130,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"10,898.890000 ",,,,
"C 202406   140,000(  10)",,콜,,20240613,,"140,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"8,166.590000 ",,,,
"C 202406   150,000(  10)",,콜,,20240613,,"150,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"6,023.630000 ",,,,
"C 202406   160,000(  10)",,콜,,20240613,,"160,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"4,322.580000 ",,,,
"P 202307    78,000(  10)",,풋,,20230713,,"78,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.050000 ,,,,
"P 202307    80,000(  10)",,풋,,20230713,,"80,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.190000 ,,,,
"P 202307    82,000(  10)",,풋,,20230713,,"82,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.580000 ,,,,
"P 202307    84,000(  10)",,풋,,20230713,,"84,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,1.610000 ,,,,
"P 202307    86,000(  10)",,풋,,20230713,,"86,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,3.940000 ,,,,
"P 202307    88,000(  10)",,풋,,20230713,,"88,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,8.540000 ,,,,
"P 202307    90,000(  10)",,풋,,20230713,,"90,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,18.380000 ,,,,
"P 202307    92,000(  10)",,풋,,20230713,,"92,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,38.530000 ,,,,
